date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:07:43	4056/4056	---M--	200	added ('OK')	application/rss+xml	etag:%2255373271d3c74248b3863beb1948820e%22	http://heyjackass.com/enlightening-commentary/i-dont-know-what-i-knew/feed/	E:/HeyJackass/heyjackass.com/enlightening-commentary/i-dont-know-what-i-knew/feed/index.html	(from http://heyjackass.com/enlightening-commentary/i-dont-know-what-i-knew/)
16:07:43	2275/2275	---M--	200	added ('OK')	application/json	date:Fri,%2006%20Jan%202017%2000:07:49%20GMT	http://heyjackass.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fheyjackass.com%2Fenlightening-commentary%2Fdrug-cartels-sympathy-pimps%2F	E:/HeyJackass/heyjackass.com/wp-json/oembed/1.0/embedbca6.json	(from http://heyjackass.com/enlightening-commentary/drug-cartels-sympathy-pimps/)
16:07:43	38022/38022	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Jan%202017%2000:07:49%20GMT	http://heyjackass.com/enlightening-commentary/i-dont-know-what-i-knew/?replytocom=3289	E:/HeyJackass/heyjackass.com/enlightening-commentary/i-dont-know-what-i-knew/index7914.html	(from http://heyjackass.com/enlightening-commentary/i-dont-know-what-i-knew/)
16:07:44	38022/38022	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Jan%202017%2000:07:49%20GMT	http://heyjackass.com/enlightening-commentary/i-dont-know-what-i-knew/?replytocom=3298	E:/HeyJackass/heyjackass.com/enlightening-commentary/i-dont-know-what-i-knew/indexb1c8.html	(from http://heyjackass.com/enlightening-commentary/i-dont-know-what-i-knew/)
16:07:44	38022/38022	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Jan%202017%2000:07:49%20GMT	http://heyjackass.com/enlightening-commentary/i-dont-know-what-i-knew/?replytocom=3551	E:/HeyJackass/heyjackass.com/enlightening-commentary/i-dont-know-what-i-knew/index49c3.html	(from http://heyjackass.com/enlightening-commentary/i-dont-know-what-i-knew/)
16:07:45	757/757	---M--	200	added ('OK')	application/rss+xml	etag:%2255373271d3c74248b3863beb1948820e%22	http://heyjackass.com/enlightening-commentary/speedy-recovery/feed/	E:/HeyJackass/heyjackass.com/enlightening-commentary/speedy-recovery/feed/index.html	(from http://heyjackass.com/enlightening-commentary/speedy-recovery/)
16:07:45	2358/2358	---M-Z	200	added ('OK')	text/xml	date:Fri,%2006%20Jan%202017%2000:07:51%20GMT	http://heyjackass.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fheyjackass.com%2Fenlightening-commentary%2Fdrug-cartels-sympathy-pimps%2F&format=xml	E:/HeyJackass/heyjackass.com/wp-json/oembed/1.0/embed0307	(from http://heyjackass.com/enlightening-commentary/drug-cartels-sympathy-pimps/)
16:07:45	794/794	---M--	200	added ('OK')	application/rss+xml	etag:%2255373271d3c74248b3863beb1948820e%22	http://heyjackass.com/enlightening-commentary/drug-cartels-sympathy-pimps/feed/	E:/HeyJackass/heyjackass.com/enlightening-commentary/drug-cartels-sympathy-pimps/feed/index.html	(from http://heyjackass.com/enlightening-commentary/drug-cartels-sympathy-pimps/)
16:07:47	3070/3070	---M--	200	added ('OK')	application/rss+xml	etag:%2255373271d3c74248b3863beb1948820e%22	http://heyjackass.com/enlightening-commentary/weekend-wrap-up-13/feed/	E:/HeyJackass/heyjackass.com/enlightening-commentary/weekend-wrap-up-13/feed/index.html	(from http://heyjackass.com/enlightening-commentary/weekend-wrap-up-13/)
16:07:47	2205/2205	---M--	200	added ('OK')	application/json	date:Fri,%2006%20Jan%202017%2000:07:53%20GMT	http://heyjackass.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fheyjackass.com%2Fenlightening-commentary%2Fweekend-wrap-up-13%2F	E:/HeyJackass/heyjackass.com/wp-json/oembed/1.0/embed7e0a.json	(from http://heyjackass.com/enlightening-commentary/weekend-wrap-up-13/)
